Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Day,Month,Lat,Lng
14-Apr-18,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,9,Tiger shark,14,Apr,14.4922469,74.3630984
Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,10,Apr,-9.5000479,-35.5745562
9-Apr-18,2018,Unprovoked,NEW CALEDONIA,UNKNOWN,"Magenta Beach, Noumea",Windsurfing,Non-Disclosed,,"No injury, shark bit board",N,17,2 m shark,9,Apr,-22.2976333,166.4382769
5-Apr-18,2018,Unprovoked,BAHAMAS,UNKNOWN,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18,Bull shark,5,Apr,24.6415325,-79.8506226
3-Apr-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15,White shark,3,Apr,-34.1605375,24.824107
31-Mar-18,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,9,"Tiger shark, 12'",31,Mar,19.8230556,-156.0008333
14-Mar-18,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17,Wobbegong shark,14,Mar,-31.8496013,115.7549052
9-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15,3.5 m shark,9,Mar,44.7460685,-95.5744641
9-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,7,1.8 m shark,9,Mar,-38.3680831,144.2849552
24-Feb-18,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,24,Feb,-29.8586804,31.0218404
23-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,19,"Juvenile white shark,  2.7 to 3.2 m",23,Feb,-33.9915566,151.2383626
18-Feb-18,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,,Non-Disclosed,18,Feb,-38.3563059,145.2480193
15-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16,"Bull shark, 2 m",15,Feb,-34.6816667,150.8511111
14-Feb-18,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18,Possibly a wobbegong,14,Feb,-26.6809437,153.121665
11-Feb-18,2018,Invalid,BRAZIL,Victoria,Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",11,Feb,-19.1834229,-40.3088626
3-Feb-18,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,3,Feb,-0.819877,-90.0653341
1-Feb-18,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,1,Feb,-32.5947053,115.6329821
28-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,UNKNOWN,M,18,Injuries to right leg,N,8,Bull shark,28,Jan,-16.4683333,123.5352778
21-Jan-18,2018,Unprovoked,NEW CALEDONIA,UNKNOWN,Nouville,Spearfishing,M,40,Injuries to abdomen and arm,N,15,"Bull shark, 3 m ",21,Jan,-22.2662612,166.4013471
14-Jan-18,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,15,Grey reef shark. 2 m,14,Jan,-14.6645455,145.4651448
13-Jan-18,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",13,Jan,-34.4943401,150.9378248
12-Jan-18,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,,small shark,12,Jan,,
5-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,,Wobbegong shark?,5,Jan,-33.8638221,114.9769458
31-Dec-17,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18,Tiger shark,31,Dec,21.4389123,-158.0000565
30-Dec-17,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12,Non-Disclosed,30,Dec,38.0537357,-122.9409494
21-Dec-17,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,21,Dec,2.6038875,101.6881431
9-Dec-17,2017,Unprovoked,BAHAMAS,UNKNOWN,,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',9,Dec,37.2256055,-95.7162018
30-Nov-17,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",30,Nov,,
30-Nov-17,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",30,Nov,,
Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,UNKNOWN, Gars Garabulli,2 boats capsized,Non-Disclosed,,FATAL,Y,,Some drowned but other may have been killed by blue sharks,25,Nov,32.75,13.716667
24-Nov-17,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13,"White shark, 4.6 m",24,Nov,36.563945,-121.9423337
18-Nov-17,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,,Non-Disclosed,18,Nov,27.9456312,-80.497996
Reported 13-Nov-2017,2017,Unprovoked,UNKNOWN,UNKNOWN,,Surfing,M,24,Puncture wounds to feet,N,,Non-Disclosed,13,Nov,37.2256055,-95.7162018
13-Nov-17,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16,2 m shark,13,Nov,-33.465,151.435
4-Nov-17,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23,Tiger shark,4,Nov,21.1221074,-75.8386882
Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,31,Oct,-19.1358653,146.8423556
28-Oct-17,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,9,"Wobbegong shark, 1 m",28,Oct,-32.7884091,152.0803143
26-Oct-17,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,15,Non-Disclosed,26,Oct,21.3035358,-158.0452407
23-Oct-17,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,,Non-Disclosed,23,Oct,47.705681,-64.7126735
23-Oct-17,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,17,Non-Disclosed,23,Oct,26.8797819,-80.0533743
23-Oct-17,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,8,Non-Disclosed,23,Oct,26.794355,-80.034525
22-Oct-17,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,,"White shark, 4.5 m",22,Oct,-35.4463828,138.3215845
21-Oct-17,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,9,2 m shark,21,Oct,-36.78419,174.7753961
18-Oct-17,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14,"Spinner shark, 4 to 5 feet",18,Oct,26.5867358,-80.0519859
9-Oct-17,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18,"Tiger shark, 8 to 10 feet",9,Oct,21.9641667,-159.7088889
5-Oct-17,2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12,8' shark,5,Oct,,
1-Oct-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,Uncomfirmed,,Death may have been due to drowning,1,Oct,41.5821566,-71.2985569
25-Sep-17,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,,5' shark,25,Sep,30.3715361,-81.4079734
25-Sep-17,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18,"White shark, 3.5 m",25,Sep,-33.8641558,114.9882251
24-Sep-17,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",Uncomfirmed,15,Questionable,24,Sep,40.5847744,-73.8165771
24-Sep-17,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14,4' to 5' shark,24,Sep,32.7554883,-97.3307658
20-Sep-17,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,,Non-Disclosed,20,Sep,26.6514503,-80.2767327
16-Sep-17,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",16,Sep,27.9202202,-15.5474373
16-Sep-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16,Non-Disclosed,16,Sep,29.0963729,-80.9369983
15-Sep-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",Uncomfirmed,,Non-Disclosed,15,Sep,-34.3901402,19.1374653
15-Sep-17,2017,,SAMOA,Nu’ulua,Nofoalii,Fishing,M,,Injuries to hands and legs,N,,Non-Disclosed,15,Sep,,
17-Sep,2017,Boating,AUSTRALIA,Western Australia,Esperance,Fishing,Non-Disclosed,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m",17,Sep,-33.8613103,121.8914238
13-Sep-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18,5' to 6' shark,13,Sep,29.0963729,-80.9369983
10-Sep-17,2017,Unprovoked,AUSTRALIA,Western Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15,Non-Disclosed,10,Sep,35.7137097,-95.3235775
10-Sep-17,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,6,"White shark, 3 to 3.5m ",10,Sep,-29.4120103,153.3647477
Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,UNKNOWN,Owarigi Island,Spearfishing,M,,Foot bitten,N,,Non-Disclosed,6,Sep,-10.8901457,162.4465261
3-Sep-17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,FATAL,Y,,Non-Disclosed,3,Sep,41.5821566,-71.2985569
3-Sep-17,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10,Non-Disclosed,3,Sep,34.7179085,137.8515047
2-Sep-17,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,,Nurse shark,2,Sep,24.726026,-81.0446262
2-Sep-17,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,,Non-Disclosed,2,Sep,26.1118401,-97.1681257
2-Sep-17,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10,Non-Disclosed,2,Sep,29.0258191,-80.9269984
29-Aug-17,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10,"White shark, 3 m",29,Aug,34.8200185,-111.7932108
27-Aug-17,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13,Non-Disclosed,27,Aug,27.2143933,-80.1750214
26-Aug-17,2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,Uncomfirmed,,Shark involvement questionable,26,Aug,39.8014698,-0.1309362
26-Aug-17,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,,Non-Disclosed,26,Aug,-35.6104323,174.5242956
23-Aug-17,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",BOARDING,M,69,Not injured by shark but board bitten,N,10,"White shark, 5' to 7'",23,Aug,41.8917732,-69.9611306
18-Aug-17,2017,Unprovoked,BAHAMAS,UNKNOWN,,Spearfishing,M,,Hand injured,N,15,5' shark,18,Aug,37.2256055,-95.7162018
10-Aug-17,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13,Possibly a juvenile blacktip shark,10,Aug,32.1558531,-80.7671677
5-Aug-17,2017,Unprovoked,EGYPT,Red Sea,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",5,Aug,25.06041,34.902877
3-Aug-17,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23,4' shark,3,Aug,41.5493017,-70.5557244
1-Aug-17,2017,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,10,"White shark, 10'",1,Aug,36.5618363,-121.9543761
31-Jul-17,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18,Non-Disclosed,31,Jul,30.3321838,-81.655651
29-Jul-17,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,Uncomfirmed,15,A small shark,29,Jul,32.216316,-80.752608
29-Jul-17,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",UNKNOWN,F,12,Bite to left thigh / minor injury,N,,Non-Disclosed,29,Jul,33.3690565,-79.1517111
27-Jul-17,2017,Unprovoked,BAHAMAS,New Providence,Rose Island,Snorkeling,F,,Foot & ankle injured,N,,Non-Disclosed,27,Jul,41.4964493,-71.341613
Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,Grand Baham Island,,Spearfishing,M,,Severe lacerations to left hand,N,,Non-Disclosed,26,Jul,37.2256055,-95.7162018
24-Jul-17,2017,Unprovoked,ST HELENA,Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17,Non-Disclosed,24,Jul,49.2871809,-123.1614389
23-Jul-17,2017,Unprovoked,USA,New Jersey,Ventnor,UNKNOWN,F,,Minor injury to hand,N,,Sandtiger shark  2',23,Jul,39.3403942,-74.4773735
23-Jul-17,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,,Blue shark 6',23,Jul,,
22-Jul-17,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",UNKNOWN,F,40,Foot bitten,N,12,"""A small shark""",22,Jul,24.6981975,-81.6739784
20-Jul-17,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Uncomfirmed,,Shark involvement not confirmed,20,Jul,32.216316,-80.752608
20-Jul-17,2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11,"White shark, 11' to 13'",20,Jul,34.4099861,-119.6855917
20-Jul-17,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",BOARDING,M,50,"No injury, shark bit paddleboard",N,7,"White shark, 8' to 10'",20,Jul,34.4168342,-119.8322099
14-Jul-17,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,18,"White shark, 9'",14,Jul,46.8904871,-124.1033133
14-Jul-17,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,11,Non-Disclosed,14,Jul,-31.9289594,115.7548856
11-Jul-17,2017,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,11,White shark,11,Jul,36.9741171,-122.0307963
9-Jul-17,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15,"Bull shark, 4' to 5'",9,Jul,25.9065987,-80.1244416
Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg",7,Jul,18.2952957,-93.8617127
7-Jul-17,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15,"White shark, 2.5 m",7,Jul,-32.9959503,27.9512646
2-Jul-17,2017,Invalid,COMOROS,Anjouan,Moya,Fishing,Non-Disclosed,,"Skull found in shark, a probable drowning & scavenging",Uncomfirmed,,Shark involvement prior to death not confirmed,2,Jul,32.7462226,-96.8513561
29-Jun-17,2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",Uncomfirmed,19,No shark invovlement ,29,Jun,34.2085036,-77.7963709
21-Jun-17,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,Non-Disclosed,21,Jun,32.1378442,-80.7625841
19-Jun-17,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,,Non-Disclosed,19,Jun,26.7850625,-80.0375408
18-Jun-17,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",18,Jun,32.1940526,-80.6976655
18-Jun-17,2017,Unprovoked,REUNION ISLAND,UNKNOWN,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10,"Bull shark, 2m",18,Jun,-20.1100712,57.7261042
17-Jun-17,2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,12,Non-Disclosed,17,Jun,,
5-Jun-17,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,,Non-Disclosed,5,Jun,-9.809205,-139.0375259
Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,UNKNOWN,,Feeding sharks,F,,Fingernail pulled off ,N,,Non-Disclosed,14,Jun,37.2256055,-95.7162018
11-Jun-17,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,8,"White shark, 4 m",11,Jun,-33.3153009,115.6371109
10-Jun-17,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,15,Seven-gill shark,10,Jun,-38.474,145.022
10-Jun-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10,Non-Disclosed,10,Jun,29.0963729,-80.9369983
Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",7,Jun,50.2783167,-3.8785889
4-Jun-17,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,Laceration to shin,N,,8' shark,4,Jun,24.5735893,-81.6856808
2-Jun-17,2017,Unprovoked,BAHAMAS,New Providence,Athol Island,Snorkeling,F,32,Right forearm severed ,N,12,Tiger shark,2,Jun,25.0782767,-77.2717642
30-May-17,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark,30,May,33.0376703,-79.613127
28-May-17,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,,Lacerations to right arm,N,,Tiger shark,28,May,26.9342246,-80.0942087
27-May-17,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,Non-Disclosed,27,May,-29.1086171,153.4217078
12-May-17,2017,Unprovoked,UNITED ARAB EMIRATES,Sharjah,Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,,Non-Disclosed,12,May,25.3365669,56.3432629
